pharmacy_name,address,eta_minutes,medicine_name,price,stock
GreenLeaf Pharmacy,12 Orchard Road,8.0,Paracetamol,3.50,120
GreenLeaf Pharmacy,12 Orchard Road,8.0,Amoxicillin,8.75,40
GreenLeaf Pharmacy,12 Orchard Road,8.0,Metformin,6.20,75
GreenLeaf Pharmacy,12 Orchard Road,8.0,Ibuprofen,4.10,90
CarePlus Chemist,45 Marina Boulevard,12.5,Paracetamol,3.20,60
CarePlus Chemist,45 Marina Boulevard,12.5,Atorvastatin,11.00,25
CarePlus Chemist,45 Marina Boulevard,12.5,Amoxicillin,9.10,0
CarePlus Chemist,45 Marina Boulevard,12.5,Losartan,7.40,55
MediWell Pharmacy,8 Raffles Avenue,6.0,Metformin,5.90,100
MediWell Pharmacy,8 Raffles Avenue,6.0,Ibuprofen,3.95,15
MediWell Pharmacy,8 Raffles Avenue,6.0,Cetirizine,2.80,70
MediWell Pharmacy,8 Raffles Avenue,6.0,Amoxicillin,8.30,90
HealthHub Pharmacy,101 Bugis Street,15.0,Losartan,7.10,30
HealthHub Pharmacy,101 Bugis Street,15.0,Atorvastatin,10.50,45
HealthHub Pharmacy,101 Bugis Street,15.0,Paracetamol,3.80,200
HealthHub Pharmacy,101 Bugis Street,15.0,Cetirizine,3.00,20
QuickCare Drugstore,77 Clementi Ave,9.5,Ibuprofen,4.50,55
QuickCare Drugstore,77 Clementi Ave,9.5,Metformin,6.00,0
QuickCare Drugstore,77 Clementi Ave,9.5,Amoxicillin,8.60,35
QuickCare Drugstore,77 Clementi Ave,9.5,Cetirizine,2.95,60
